ID,Gender,Own_property,Unemployed,Num_children,Num_family,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type
5008804,1,1,0,0,2,427500.0,32.86857361889703,12.4355736257418,Working,Higher education,Civil marriage,Rented apartment,Other
5008806,1,1,0,0,2,112500.0,58.79381506807121,3.1047865459249677,Working,Secondary / secondary special,Married,House / apartment,Security staff
5008808,0,1,0,0,1,270000.0,52.32140290355038,8.353354278321937,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff
5008812,0,1,1,0,1,283500.0,61.504343004989835,0.0,Pensioner,Higher education,Separated,House / apartment,Other
5008815,1,1,0,0,2,270000.0,46.1939670219101,2.1054504883741623,Working,Higher education,Married,House / apartment,Accountants
5008819,1,1,0,0,2,135000.0,48.67451077024169,3.269060966344278,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers
5008825,0,0,0,0,2,130500.0,29.210729857560388,3.019911428708324,Working,Incomplete higher,Married,House / apartment,Accountants
5008830,0,1,0,0,2,157500.0,27.46394518710172,4.021985393266117,Working,Secondary / secondary special,Married,House / apartment,Laborers
5008834,0,1,0,1,2,112500.0,30.02936405264995,4.435409351321383,Working,Secondary / secondary special,Single / not married,House / apartment,Other
5008836,1,1,0,3,5,270000.0,34.74130201167717,3.1841858491276342,Working,Secondary / secondary special,Married,House / apartment,Laborers
5008838,1,1,0,1,3,405000.0,32.42229477675791,5.519620526088831,Commercial associate,Higher education,Married,House / apartment,Managers
5008844,1,1,0,0,2,112500.0,56.132569457278386,12.183686181098858,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers
5008854,0,1,0,2,4,135000.0,43.15215233714587,8.687378933174534,Working,Secondary / secondary special,Married,House / apartment,Laborers
5008868,0,1,0,1,3,211500.0,44.38694839729769,19.436401842611417,State servant,Secondary / secondary special,Civil marriage,House / apartment,Core staff
5008872,1,1,0,0,2,360000.0,45.64090980649842,14.686133185486357,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff
5008873,0,1,0,2,4,126000.0,33.98016386373437,4.854309123390624,Commercial associate,Higher education,Married,House / apartment,Managers
5008884,0,1,1,0,1,315000.0,55.26739084307001,0.0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other
5008888,0,1,0,0,1,247500.0,46.58822563091645,3.68796073841352,Commercial associate,Higher education,Separated,Rented apartment,Core staff
5008891,0,1,0,0,1,297000.0,42.48957884145465,8.854391260600833,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Laborers
5008942,0,0,0,0,2,157500.0,37.35052738933722,13.267897355866308,Commercial associate,Higher education,Married,House / apartment,High skill tech staff
5008947,1,1,0,0,2,135000.0,42.39375209621005,3.8549730658398182,Working,Secondary / secondary special,Married,House / apartment,Drivers
5008951,1,1,0,1,3,225000.0,28.257938219128388,7.688042875623729,Working,Secondary / secondary special,Married,House / apartment,Other
5008955,0,1,0,0,2,135000.0,48.69367611929061,4.687296795964325,Working,Secondary / secondary special,Married,House / apartment,Laborers
5008966,1,1,0,0,2,157500.0,43.88043560100481,2.4339993292127833,Working,Secondary / secondary special,Married,House / apartment,Other
5008974,0,1,1,0,2,112500.0,61.1073464889765,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other
5008981,1,1,0,0,2,112500.0,57.151070863878104,6.518956583639636,State servant,Secondary / secondary special,Married,House / apartment,Drivers
5008991,0,1,0,0,1,270000.0,45.399973989883435,3.269060966344278,Working,Secondary / secondary special,Separated,House / apartment,Cleaning staff
5008998,0,1,0,0,2,270000.0,29.09847567027386,2.266987001786484,Working,Higher education,Married,House / apartment,Managers
5009000,1,1,0,0,2,157500.0,27.17920285837491,2.266987001786484,Working,Secondary / secondary special,Married,House / apartment,Drivers
5009001,1,1,0,0,2,166500.0,51.81762801426449,17.183104375859873,Working,Secondary / secondary special,Married,House / apartment,Laborers
5009016,0,1,0,2,4,216000.0,42.28423581593051,8.520366605748235,State servant,Higher education,Married,House / apartment,Other
5009027,0,1,0,0,2,270000.0,54.37757106579875,29.687125676776382,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers
5009028,0,1,0,0,2,225000.0,39.56275625098394,7.603167758407086,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers
5009031,0,1,0,0,1,315000.0,28.89587055175671,3.269060966344278,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants
5009033,0,0,1,0,2,255150.0,51.149578704559296,0.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,Other
5009039,0,1,0,2,3,157500.0,39.22325578211736,1.5195383888786218,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff
5009042,0,1,0,0,2,148500.0,48.299417510284265,2.4339993292127833,Working,Higher education,Married,House / apartment,Core staff
5009050,0,1,0,2,4,202500.0,30.108763355852616,6.2670691389966935,Working,Higher education,Married,House / apartment,Core staff
5009056,1,1,0,0,1,202500.0,24.26059398892517,2.4339993292127833,Working,Secondary / secondary special,Single / not married,House / apartment,Drivers
5009058,0,1,0,0,1,112500.0,20.504185575336933,2.1821118845698404,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Private service staff
5009060,0,1,1,0,2,94500.0,61.14020137306037,0.0,Pensioner,Higher education,Married,House / apartment,Other
5009062,1,1,0,0,2,315000.0,28.611128223029905,5.68663285351513,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff
5009071,0,1,0,0,2,270000.0,28.10187751973004,8.687378933174534,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,High skill tech staff
5009074,0,1,0,1,3,450000.0,48.532139605878285,1.9384381609478631,State servant,Higher education,Married,House / apartment,Core staff
5009078,1,1,0,1,3,180000.0,38.6647227526917,3.520948410987221,Working,Secondary / secondary special,Married,With parents,Drivers
5009079,0,1,0,0,2,112500.0,27.554296118332346,8.687378933174534,Working,Higher education,Civil marriage,House / apartment,Laborers
5009083,1,1,0,0,2,90000.0,56.21196876048105,15.688207150044148,Working,Secondary / secondary special,Married,House / apartment,Drivers
5009088,1,0,0,2,4,202500.0,40.32937021294072,8.18360404388865,Commercial associate,Higher education,Married,House / apartment,Laborers
5009090,1,1,0,0,2,247500.0,34.57428968425087,11.020075703128745,Working,Secondary / secondary special,Married,House / apartment,Drivers
5009092,1,1,0,1,3,765000.0,33.394251764238824,3.269060966344278,Working,Higher education,Married,House / apartment,Managers
5009096,0,1,0,1,3,270000.0,37.451829948595794,12.022149667686536,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants
5009099,0,1,0,0,1,315000.0,36.33476388974449,1.5195383888786218,Working,Higher education,Separated,House / apartment,Managers
5009103,1,1,0,2,4,157500.0,35.20674620286522,11.104950820345389,Working,Secondary / secondary special,Married,With parents,Drivers
5009108,1,1,0,0,2,360000.0,41.94747325407092,7.52103054819743,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff
5009110,0,1,0,0,2,112500.0,24.208573755792383,0.8542269861804144,Commercial associate,Higher education,Married,House / apartment,High skill tech staff
5009116,0,0,0,0,1,157500.0,43.08644256897814,1.1827758270190354,Commercial associate,Higher education,Separated,With parents,Other
5009133,1,1,1,0,1,382500.0,59.33865856246192,0.0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other
5009141,0,0,0,0,2,135000.0,26.439967966488016,4.271134930902072,Working,Secondary / secondary special,Civil marriage,House / apartment,Managers
5009143,1,0,1,0,2,225000.0,50.073581250812815,0.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Other
5009145,1,0,0,0,2,315000.0,43.327378385593136,10.185014065997247,Working,Higher education,Married,House / apartment,Managers
5009151,0,0,0,0,2,180000.0,53.59452966180004,7.942668227273661,Working,Secondary / secondary special,Married,House / apartment,Sales staff
5009163,0,0,0,0,2,157500.0,35.360068995256576,8.690116840181522,Working,Secondary / secondary special,Married,House / apartment,Sales staff
5009170,0,0,1,0,2,144000.0,62.63509859887609,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other
5009177,1,0,0,0,2,229500.0,50.1721459030644,3.4388112007775655,Working,Incomplete higher,Married,Co-op apartment,Laborers
5009186,0,0,0,0,2,270000.0,48.11323983380905,15.857957384477436,Working,Higher education,Married,House / apartment,Managers
5009195,0,0,0,0,2,292500.0,57.3673655174302,23.7759844486882,State servant,Secondary / secondary special,Married,House / apartment,Accountants
5009213,0,0,0,0,2,270000.0,33.76660711718927,2.3546000260101163,Working,Higher education,Married,House / apartment,Accountants
5009220,0,0,0,0,2,225000.0,40.15688207150044,2.1848497915768292,Working,Secondary / secondary special,Married,House / apartment,Managers
5009238,1,0,0,0,2,157500.0,29.051931251155057,2.6886246808627146,Working,Incomplete higher,Married,With parents,Drivers
5009242,0,0,0,0,1,74250.0,52.2447415073547,14.354846437640743,Working,Higher education,Separated,Municipal apartment,Core staff
5009246,0,0,0,0,2,135000.0,38.8810174062438,5.8563830879484176,Commercial associate,Secondary / secondary special,Married,House / apartment,Other
5009249,1,0,0,1,3,135000.0,27.26134006858457,2.521612353436415,Working,Secondary / secondary special,Married,House / apartment,Drivers
5009255,0,0,0,0,1,144000.0,43.72437490160647,24.60557027180572,Working,Secondary / secondary special,Single / not married,House / apartment,Cleaning staff
5009260,0,0,0,0,2,202500.0,39.869401835766645,3.5236863179942093,State servant,Higher education,Married,With parents,Core staff
5009264,0,0,1,0,1,40500.0,57.745196684394614,0.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Other
5009265,1,0,0,0,2,337500.0,28.10735333374402,4.523022375545015,State servant,Higher education,Married,With parents,Managers
5009270,1,0,0,0,2,180000.0,40.46900347029713,6.688706818072924,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Laborers
5009278,0,0,0,0,2,130500.0,41.45191208580601,13.185760145656651,Working,Secondary / secondary special,Civil marriage,House / apartment,Cleaning staff
5009295,0,0,1,0,2,144000.0,57.60830133404519,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other
